# Directed graph (each unordered pair of nodes is saved once): web-Google.txt 
# Sample 10k pages of the Webgraph from the Google programming contest, 2002
# Nodes: 10000 Edges: 78323
# FromNodeId	ToNodeId
0	11342
0	824020
0	867923
0	891835
11342	0
11342	27469
11342	38716
11342	309564
11342	322178
11342	387543
11342	427436
11342	538214
11342	638706
11342	645018
11342	835220
11342	856657
11342	867923
11342	891835
824020	0
824020	91807
824020	322178
824020	387543
824020	417728
824020	438493
824020	500627
824020	535748
824020	695578
824020	867923
824020	891835
867923	0
867923	11342
867923	136593
867923	414038
867923	500627
867923	523684
867923	760842
867923	815602
867923	835220
867923	846213
867923	857527
867923	891835
891835	0
891835	11342
891835	112028
891835	235849
891835	302284
891835	417728
891835	451592
891835	693969
891835	857527
891835	867923
27469	417728
38716	0
38716	11342
38716	136593
38716	322178
38716	387543
38716	414038
38716	500627
38716	523684
38716	535748
38716	645018
38716	760842
38716	815602
38716	835220
38716	856657
38716	857527
38716	867923
38716	891835
309564	11342
309564	27469
309564	38716
309564	417728
309564	427436
309564	438493
309564	535748
309564	538214
309564	857527
309564	867923
309564	891835
322178	0
322178	11342
322178	867923
322178	891835
387543	0
387543	11342
387543	38716
387543	638706
387543	856657
387543	867923
387543	891835
538214	417728
538214	438493
538214	500627
638706	0
638706	11342
638706	760842
638706	867923
638706	891835
645018	0
645018	11342
645018	309564
645018	867923
645018	891835
835220	0
835220	11342
835220	867923
835220	891835
856657	0
856657	11342
856657	867923
856657	891835
91807	0
91807	38716
91807	136593
91807	322178
91807	387543
91807	414038
91807	417728
91807	438493
91807	500627
91807	523684
91807	695578
91807	835220
91807	856657
91807	867923
91807	891835
438493	30115
438493	134539
438493	396680
438493	455062
438493	877491
500627	0
500627	11342
500627	867923
500627	891835
535748	0
535748	11342
535748	857527
535748	867923
535748	891835
695578	0
695578	38716
695578	91807
695578	136593
695578	322178
695578	387543
695578	417728
695578	438493
695578	500627
695578	523684
695578	856657
695578	867923
695578	891835
136593	0
136593	11342
136593	27469
136593	38716
136593	414038
136593	535748
136593	760842
136593	815602
136593	835220
136593	846213
136593	867923
136593	891835
414038	0
414038	11342
414038	867923
414038	891835
523684	0
523684	11342
523684	38716
523684	414038
523684	535748
523684	760842
523684	815602
523684	835220
523684	846213
523684	857527
523684	867923
523684	891835
760842	0
760842	11342
760842	414038
760842	835220
760842	867923
760842	891835
815602	0
815602	11342
815602	857527
815602	867923
815602	891835
846213	0
846213	11342
846213	38716
846213	414038
846213	438493
846213	500627
846213	535748
846213	835220
846213	857527
846213	867923
846213	891835
857527	0
857527	11342
857527	27469
857527	38716
857527	417728
857527	438493
857527	500627
857527	535748
857527	867923
235849	0
235849	11342
235849	857527
235849	867923
235849	891835
302284	0
302284	11342
302284	857527
302284	867923
302284	891835
451592	0
451592	11342
451592	857527
451592	867923
451592	891835
1	53051
1	203402
1	223236
1	276233
1	552600
1	569212
1	635575
1	748615
1	862566
1	893884
203402	1
203402	53051
203402	164684
203402	184896
203402	184984
203402	223236
203402	240041
203402	276233
203402	284930
203402	303045
203402	384341
203402	408707
203402	436135
203402	449352
203402	532018
203402	539143
203402	552600
203402	569212
203402	573555
203402	604413
203402	635575
203402	648208
203402	748615
203402	773119
203402	789543
203402	792151
203402	824625
203402	838771
203402	862566
203402	893884
223236	8517
223236	14456
223236	51573
223236	150176
223236	187770
223236	189348
223236	202191
223236	225530
223236	334309
223236	421091
223236	425667
223236	484795
223236	521022
223236	522701
223236	578091
223236	610457
223236	614906
223236	674265
223236	777734
223236	799858
223236	822292
223236	867774
223236	907505
223236	912757
276233	1
276233	53051
276233	164684
276233	203402
276233	208814
276233	223236
276233	240041
276233	303045
276233	363925
276233	384341
276233	408707
276233	436135
276233	552600
276233	569212
276233	619841
276233	635575
276233	748615
276233	773119
276233	774614
276233	792266
276233	838771
276233	862566
276233	893884
552600	1
552600	53051
552600	203402
552600	223236
552600	240041
552600	276233
552600	363925
552600	436135
552600	569212
552600	619841
552600	635575
552600	748615
552600	774614
552600	824625
552600	838771
552600	862566
552600	893884
569212	1
569212	53051
569212	164684
569212	184896
569212	184984
569212	203402
569212	208814
569212	223236
569212	240041
569212	276233
569212	284930
569212	363925
569212	436135
569212	449352
569212	539143
569212	552600
569212	573555
569212	604413
569212	635575
569212	648208
569212	748615
569212	774614
569212	789543
569212	862566
569212	893884
635575	33023
